#Table1
ra,dec,deVRad_i,expRad_i,lnLExp_i,lnLDeV_i,z,logMass,ssfr,metallicity
131.027354650754,-0.103491493661606,13.12177,5.75168,-1544.694,-2723.004,0.0512229,10.2360011609795,-0.806965410709381,0.00769999995827675
137.687764224565,-0.10426526697098,18.60008,7.137235,-51.16238,-206.6361,0.04828622,10.2223388342415,-1.36815690994263,0.0149999996647239
144.828100628455,-0.201509132222521,2.10946,1.532112,-2383.615,-185.874,0.05018723,10.6824793080065,-6.12713098526001,0.00769999995827675
145.344331276238,-0.0169288795522361,2.043177,1.242845,-1233.686,-74.7466,0.09103485,10.6797158203714,-3.42206788063049,0.00769999995827675
135.489660237785,0.405090133366058,2.071161,1.533484,-2471.866,-238.9458,0.0522787,10.4628592596752,-3.42206788063049,0.00769999995827675
140.530609897839,0.399030023811069,2.671521,1.591419,-1545.199,-54.12459,0.06055532,10.3537141692551,-2.55132269859314,0.00769999995827675
145.24527855649,0.266996636332447,1.925691,1.280894,-4010.932,-446.9682,0.06221801,10.9462994348941,-4.96960735321045,0.00769999995827675
134.522766705508,1.16513498329925,1.575532,1.069539,-978.2344,-72.56012,0.07037998,10.4615637990681,-33,0.00769999995827675
146.323514726894,-1.18085420698515,1.609545,1.235629,-696.3213,-41.04506,0.08926281,10.3016040385107,-1.98188626766205,0.00769999995827675
137.4461577669,-0.65183077142171,5.117262,2.739973,-1749.774,-3023.303,0.05448833,10.4760705953414,-1.09675097465515,0.00769999995827675
143.272683148305,-0.228331396093799,9.317643,3.80402,-65.8457,-377.9681,0.07679314,10.2967896488222,-0.761288523674011,0.00769999995827675
146.365416186714,-0.343545399581245,3.825066,2.384578,-731.1928,-270.3953,0.05248393,10.6411426070163,-1.61353600025177,0.00769999995827675
146.373795889743,-0.368444419082652,9.419385,5.158213,-2452.227,-1973.997,0.05290708,10.7487027103336,-2.67303490638733,0.00769999995827675
133.158013568547,0.126118497931905,2.589978,1.932646,-6255.238,-164.0706,0.06614756,10.9263241167696,-4.53546094894409,0.00769999995827675
143.845788190237,0.123191001661742,6.411698,3.335508,-494.3865,-1572.173,0.09189583,10.8406506433293,-0.92418897151947,0.0240000002086163
144.329477305493,0.0389409506162375,7.986708,3.902561,-1193.809,-1186.867,0.09037521,11.0889708231169,-1.2345575094223,0.00960000045597553
146.347076828446,0.0754094663738096,3.29632,1.953783,-161.9633,-185.3831,0.06228172,10.5605669162628,-5.29425811767578,0.00769999995827675
139.208472686991,0.57271277925525,12.98653,7.247144,-1886.229,-4944.622,0.02839938,10.6886907125161,-1.76580345630646,0.00960000045597553
134.821550823554,0.992235640541455,10.85888,4.965847,-2580.909,-1744.203,0.0716226,10.9214931995053,-2.55132269859314,0.00769999995827675
142.007570363212,0.97233421534054,2.935603,1.899115,-3232.018,-867.4379,0.09333181,11.0835542223543,-1.35431039333344,0.00769999995827675
144.320788240768,1.03964769965982,4.264191,2.513934,-1244.839,-775.7621,0.06158908,10.4856240880208,-1.08883309364319,0.00769999995827675
143.35297982622,1.06655912270616,9.196201,4.567736,-880.625,-1348.95,0.05847616,11.0055778598338,-1.89279043674469,0.0120000001043081
140.86229395199,1.51749433604609,0.9884333,0.8209931,-159.7104,-59.73225,0.08550963,10.3087186273423,-0.869129121303558,0.00769999995827675
142.173667500258,1.62307434254889,1.255371,0.8530127,-1221.315,-130.9037,0.07446693,10.2992964785482,-7.03926944732666,0.0149999996647239
144.318566134929,1.68587441575535,9.888172,4.158203,-62.56349,-82.11897,0.07562941,10.5429816579926,-1.50635850429535,0.0189999993890524
146.78881963183,1.66398490107374,10.59954,3.804175,-76.54292,-339.0311,0.06186732,10.3952089672623,-1.89099061489105,0.00960000045597553
146.443906286178,2.13105380960559,7.247854,3.021528,-20.17588,-207.3349,0.08654679,10.7302141487308,-1.22575664520264,0.00960000045597553
139.767347598165,1.17936785495587,3.998079,2.076001,-2692.083,-327.1045,0.08913554,11.0585557418695,-2.55801248550415,0.0299999993294477
143.634581635097,1.38478249470819,2.660415,1.568193,-1479.84,-20.90666,0.0882232,10.8805095653518,-3.40829801559448,0.0299999993294477
144.923115620998,1.48311523896355,2.451796,1.484048,-169.0827,-166.8987,0.08797786,10.491507634334,-1.09195411205292,0.00769999995827675
135.158334662527,1.46996690754489,11.88669,5.893865,-11935.9,-2139.334,0.0521868,11.0337559911316,-33,0.00769999995827675
142.706052399021,1.67902579984701,1.230053,1.06959,-83.01631,-17.31689,0.07278731,10.4081580819137,-5.67751169204712,0.00769999995827675
144.042889844722,1.79591681949459,1.714876,1.27186,-484.0839,-141.5535,0.07273176,10.53414814336,-1.05661308765411,0.00960000045597553
145.134004905563,1.77649590818375,4.410915,2.957349,-5766.194,-1466.518,0.04923848,10.7577681274211,-1.01098895072937,0.00769999995827675
130.849896305793,1.71566945420192,8.374481,4.169696,-27.70651,-181.3648,0.07687387,10.5492322597867,-1.73915410041809,0.00769999995827675
134.996904110732,2.41143928766072,1.652367,1.218817,-800.3814,-50.49322,0.07173962,10.4847576562651,-3.42206788063049,0.00769999995827675
135.398321692684,2.16824984082161,5.212715,2.847038,-1237.177,-682.3617,0.05846742,10.6397879181691,-1.42320370674133,0.0149999996647239
141.954256495518,2.4798254469312,1.399145,1.033681,-325.4712,-7.723215,0.09070002,10.671110293536,-5.49293661117554,0.00769999995827675
144.862745332304,3.02508746534009,2.409976,1.722221,-2232.25,-161.1759,0.09324639,10.9819671740883,-2.55801248550415,0.0299999993294477
130.222105401601,2.49310531620532,11.51393,4.483107,-21.4518,-429.3398,0.08004459,10.2972739702294,-0.869129121303558,0.00769999995827675
143.651204262231,3.54496922986131,15.28262,6.669346,-676.7361,-2444.549,0.05936081,10.7579743219099,-1.87320423126221,0.00960000045597553
140.136390333592,3.68327242603941,2.078635,1.292227,-148.3329,-6.494556,0.09721027,10.3134108936135,-0.769684612751007,0.00769999995827675
141.225769556547,3.70762925902455,2.692971,1.802894,-2009.5,-16.81144,0.09618492,11.1027389510501,-2.67303490638733,0.00769999995827675
133.519793028822,3.7473138726818,4.481268,2.2008,-11.01178,-392.3909,0.09597185,10.3118272222195,-0.869129121303558,0.00769999995827675
130.057564361742,2.31726562730341,2.263781,1.594605,-1522.069,-171.6877,0.08035741,10.7034567446356,-7.04179382324219,0.0299999993294477
131.51096898481,2.53367370317211,27.15516,10.83007,-476.5479,-4567.68,0.02799365,10.2121670497439,-2.55407476425171,0.0120000001043081
138.015288263693,2.87584230614614,13.96083,7.747098,-12490.41,-4823.219,0.02565885,10.2973979158992,-1.58414709568024,0.0120000001043081
138.962761674562,2.99836298329725,4.106534,2.216381,-162.9429,-914.7466,0.08918168,10.5419264793732,-1.01098895072937,0.00769999995827675
139.258727431688,3.47001292298154,4.618478,2.854517,-2685.122,-771.0192,0.09724587,10.8767138002985,-1.13935005664825,0.00960000045597553
140.565659394613,3.97515758880111,4.737352,2.514277,-1103.716,-1467.719,0.05738128,10.6328788663258,-1.22575664520264,0.00960000045597553
141.405571267579,4.01047819218499,9.803083,4.488609,-417.2339,-1577.623,0.0576853,10.3065005237987,-0.761288523674011,0.00769999995827675
138.333466878549,4.15485335497256,5.094218,2.439062,-551.7455,-339.9149,0.09002499,11.0070778056227,-1.9751124382019,0.0299999993294477
130.016753156422,3.55497919499587,2.52384,1.899265,-1189.938,-1352.802,0.07725134,10.7529324962574,-7.03655576705933,0.00960000045597553
132.741863407033,3.86305870699355,9.092228,3.580218,-498.1112,-2461.052,0.0765278,10.2277822067006,-0.299360185861588,0.00769999995827675
132.144170696354,4.24090734732445,7.743787,3.644656,-345.2564,-2195.056,0.05902741,10.4359593457534,-1.13720631599426,0.00769999995827675
132.642901284328,4.32103784822427,1.742001,1.188626,-429.8591,-7.343594,0.09572774,10.3612865997945,-4.74556064605713,0.0120000001043081
137.361574103524,4.70636411900802,5.621235,3.23125,-428.899,-762.6483,0.06960899,10.9373863674575,-1.61934792995453,0.0299999993294477
128.368922999465,4.16753513945083,2.470125,1.77826,-2529.798,-202.2111,0.08442445,10.6121974153632,-1.58623242378235,0.00960000045597553
131.712875842793,4.95530705907631,1.830503,1.296766,-485.1848,-36.70794,0.09783832,10.5749198163813,-4.53546094894409,0.00769999995827675
132.873513478976,5.13679023728789,1.244238,0.80502,-858.4835,-109.8956,0.09602349,10.6848308153818,-24.6917495727539,0.0149999996647239
127.407989302507,3.99643569158627,1.511587,1.220407,-703.9252,-65.77097,0.06559086,10.231175107296,-2.55801248550415,0.0299999993294477
136.371793466072,4.93041121304729,4.313007,2.468166,-787.5455,-104.5098,0.06913925,10.7769938846334,-1.80829215049744,0.0299999993294477
131.050213929319,5.17821929443305,3.075477,1.85516,-9.644634,-232.9787,0.0967076,10.5678080166229,-1.18532085418701,0.00769999995827675
131.449921145139,5.20069216092498,12.24068,5.032632,-77.00452,-258.2753,0.09615259,10.8704731758868,-1.424241065979,0.0299999993294477
130.560604353947,5.9149211933644,4.945603,2.40712,-210.6905,-383.1779,0.07268342,10.6360818591889,-1.47910463809967,0.00960000045597553
141.270083179727,2.89084152633314,4.109038,2.033719,-83.15963,-91.44115,0.08801363,10.3435844216176,-0.761288523674011,0.00769999995827675
141.002390809951,2.43889632666623,4.106188,2.429801,-20.32555,-432.6367,0.08941285,10.7844282712355,-1.88875377178192,0.00769999995827675
140.519538790936,2.76238657025433,2.280919,1.54709,-123.8623,-217.7299,0.08661134,10.4805869758829,-2.55801248550415,0.0299999993294477
140.828706629107,2.92733179637898,1.122295,0.9674875,-376.3315,-26.2929,0.08765639,10.6729589318568,-33,0.00960000045597553
142.104865208149,4.05174050681559,2.362894,1.4864,-1276.802,-82.90717,0.08373368,10.6783475085386,-4.04968404769897,0.00769999995827675
135.120513539551,1.28725728723652,1.265662,1.170563,-1895.649,-411.9466,0.07139147,10.5708454802372,-2.55132269859314,0.00769999995827675
145.899686173474,3.05934500468245,7.489232,3.74804,-167.4523,-834.8364,0.08373679,10.5776184331406,-0.927814185619354,0.00769999995827675
143.462984187512,3.72500670821139,1.672802,1.428017,-1039.579,-48.82557,0.07283324,10.4790809656179,-33,0.0299999993294477
143.144416781628,3.98723873558666,4.168561,2.730773,-1589.238,-477.107,0.06282001,10.7800252627276,-1.72047400474548,0.00960000045597553
145.805746647408,5.94628898882681,1.30533,1.176989,-650.5033,-66.85204,0.08895511,10.6288446538537,-33,0.0299999993294477
145.767924135807,-1.07471586922702,17.75434,6.191038,-1148.862,-2971.653,0.06249849,10.7064236767548,-1.04016351699829,0.00769999995827675
